,dataset,ssim_norm,ssim
367,ShanghaiTech_part_B,0.8660368919372559,0.8678289651870728
368,ShanghaiTech_part_B,0.903439998626709,0.9134758710861206
369,ShanghaiTech_part_B,0.8999518752098083,0.885439395904541
370,ShanghaiTech_part_B,0.8556658625602722,0.8819036483764648
371,ShanghaiTech_part_B,0.3340904116630554,0.1022639349102974
372,ShanghaiTech_part_B,0.932985246181488,0.9360697865486145
373,ShanghaiTech_part_B,0.49283289909362793,0.5003676414489746
374,ShanghaiTech_part_B,0.5555742979049683,0.5853318572044373
375,ShanghaiTech_part_B,0.73720383644104,0.7134419083595276
376,ShanghaiTech_part_B,0.8685280680656433,0.8728979229927063
377,ShanghaiTech_part_B,0.8916059732437134,0.8935942649841309
378,ShanghaiTech_part_B,0.7293586730957031,0.7322028875350952
379,ShanghaiTech_part_B,0.7588322758674622,0.7925543785095215
380,ShanghaiTech_part_B,0.9118446111679077,0.9202423691749573
381,ShanghaiTech_part_B,0.6612278819084167,0.7144916653633118
382,ShanghaiTech_part_B,0.7541693449020386,0.7780717015266418
383,ShanghaiTech_part_B,0.6136656999588013,0.6264886260032654
384,ShanghaiTech_part_B,0.9249138832092285,0.9290273785591125
385,ShanghaiTech_part_B,0.7911632657051086,0.8146643042564392
386,ShanghaiTech_part_B,0.9086562395095825,0.9165984392166138
387,ShanghaiTech_part_B,0.4289831519126892,0.3636786937713623
388,ShanghaiTech_part_B,0.36387619376182556,0.35915863513946533
389,ShanghaiTech_part_B,0.8546114563941956,0.8351690769195557
390,ShanghaiTech_part_B,0.7879083752632141,0.7817009091377258
391,ShanghaiTech_part_B,0.7782657146453857,0.7212644815444946
392,ShanghaiTech_part_B,0.8430658578872681,0.8311364054679871
393,ShanghaiTech_part_B,0.698192834854126,0.6605647206306458
394,ShanghaiTech_part_B,0.8705703020095825,0.8638513684272766
395,ShanghaiTech_part_B,0.8590356111526489,0.8580231666564941
396,ShanghaiTech_part_B,0.8624212741851807,0.8963724374771118
397,ShanghaiTech_part_B,0.6084883213043213,0.6515318751335144
398,ShanghaiTech_part_B,0.9171662330627441,0.9185707569122314
399,ShanghaiTech_part_B,0.8539879322052002,0.8690388798713684
400,ShanghaiTech_part_B,0.593184232711792,0.5864773988723755
401,ShanghaiTech_part_B,0.7376354336738586,0.7549136281013489
402,ShanghaiTech_part_B,0.575781524181366,0.5744218230247498
403,ShanghaiTech_part_B,0.8594452142715454,0.8818926811218262
404,ShanghaiTech_part_B,0.7739383578300476,0.8025635480880737
405,ShanghaiTech_part_B,0.5020615458488464,0.4989691376686096
406,ShanghaiTech_part_B,0.712688148021698,0.6186158061027527
407,ShanghaiTech_part_B,0.8886269330978394,0.902119517326355
408,ShanghaiTech_part_B,0.47705593705177307,0.5100625157356262
409,ShanghaiTech_part_B,0.9213687777519226,0.9248180389404297
410,ShanghaiTech_part_B,0.871491551399231,0.8843961954116821
411,ShanghaiTech_part_B,0.6503509283065796,0.6866526007652283
412,ShanghaiTech_part_B,0.8410385251045227,0.7926894426345825
413,ShanghaiTech_part_B,0.47918927669525146,0.3904256522655487
414,ShanghaiTech_part_B,0.8703059554100037,0.5482031106948853
415,ShanghaiTech_part_B,0.5133741497993469,0.4940294623374939
416,ShanghaiTech_part_B,0.5715035200119019,0.4780600070953369
417,ShanghaiTech_part_B,0.8947375416755676,0.8758842945098877
418,ShanghaiTech_part_B,0.6380957365036011,0.5925388336181641
419,ShanghaiTech_part_B,0.6126611828804016,0.6185052990913391
420,ShanghaiTech_part_B,0.6590666174888611,0.7353336215019226
421,ShanghaiTech_part_B,0.5864209532737732,0.649130642414093
422,ShanghaiTech_part_B,0.858272135257721,0.8698093891143799
